"behav";"Bouts";"seconds";"ID";"animal_ID";"gender";"treatment";"genotype";"date";"test.cage";"real.time.start";"dark.start";"project.name"
"Eat Zone3";0;0;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Forage";279;72.8;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Groom";258;6895.48;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Hang Cuddled";361;105.88;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Hang Vertically";0;0;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Hang Vertically From HangCuddled";286;81.08;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Hang Vertically From Rear Up";566;163.72;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Jump";87;31.6;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Land Vertically";338;98.8;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"No Data";113;7294.08;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Pause";350;2655.92;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Rear Up";291;79.04;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Rear up From Partially Reared";251;63.64;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Rear up To Partially Reared";604;168.6;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Remain Hang Cuddled";300;702.72;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Remain Hang Vertically";587;804.88;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Remain Low";8718;15623.44;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Remain Partially Reared";327;155.36;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Remain RearUp";423;350.56;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Repetitive Jumping";18;14.36;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Sleep";57;37999.76;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Sniff";738;883.08;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Stationary";137;50.24;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Stretch Body";594;641.48;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Turn";4557;1233.08;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Twitch";1125;2744;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Unknown Behavior";1540;1245.16;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Urinate";0;0;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Walk Left";938;305.76;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Walk Right";1015;322.28;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Walk Slowly";5615;1936.64;"102";"27";"M";"young";"test";"08.09.2015";"3";09:08:00;18:00:00;"Tarabykin"
"Awaken";19;49.04;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Chew";276;303;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Circle";0;0;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Come Down";582;155.36;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Come Down From Partially Reared";3909;1019;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Come Down To Partially Reared";1665;443.6;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
